"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Caretta caretta","2017-06-25 14:43:00 -0500","","",-27.4006173246,32.6358193141,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6903583","https://static.inaturalist.org/photos/8811007/medium.jpg?1499100370","gonodactylus",6903583,"Loggerhead Sea Turtle","Reptilia",39665,"false",2,0,"2017/06/25 2:43 PM CDT","2017-06-25","2017-06-25 19:43:00 UTC","Central Time (US & Canada)",2,"Umkhanyakude, ZA-NL, ZA","","true","","","false",188597,"2017-07-03 16:52:28 UTC","2017-10-06 18:06:20 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2017-06-27 18:36:00 -0300","","Monroe County, US-FL, US",24.8013692285,-80.8631623673,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6894290","https://static.inaturalist.org/photos/8795035/medium.jpg?1499036468","hartvillestuff",6894290,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017/06/27 6:36 PM -0400","2017-06-27","2017-06-27 21:36:00 UTC","Atlantic Time (Canada)",61,"Monroe County, FL, USA","","true","","","false",5245,"2017-07-02 23:51:16 UTC","2017-07-03 00:44:18 UTC","research","CC-BY",NA,"false"
"Caretta caretta","2017-07-01 15:30:00 +0200","Stabilimento Ubaldo e Massimo.
Animale trovato morto in avanzato stato di decomposizione.","Roma, Lazio, IT",42.1344182161,11.8263420488,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6884464","https://static.inaturalist.org/photos/8780973/medium.jpeg?1498980595","emadezu",6884464,"Tartaruga caretta","Reptilia",39665,"false",3,0,"2017-07-01 3:30:00 PM CEST","2017-07-01","2017-07-01 13:30:00 UTC","Paris",344,"Lungomare Pyrgi, 21 00050 Santa Marinella RM","","true","gps","gps","false",45184,"2017-07-02 07:29:47 UTC","2017-10-18 10:26:02 UTC","research","CC-BY-NC",2,"false"
"Caretta caretta","2017-01-03 00:00:00 +0000","","Quintana Roo, MX",20.5640579806,-87.1447876877,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6848922","","lukeberg",6848922,"Loggerhead Sea Turtle","Reptilia",39665,"false",0,0,"2017/01/03 2:00 PM UTC","2017-01-03","","UTC",5674,"Ocean off west coast of Isla Cozumel","","true","","","false",499808,"2017-06-29 17:00:21 UTC","2017-06-29 17:01:20 UTC","casual","",NA,"false"
"Caretta caretta","2017-06-27 18:51:53 +0200","","Campania, IT",40.8370911037,14.2444305114,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6823334","https://static.inaturalist.org/photos/8686430/medium.jpg?1498582982","tommasomagaldi",6823334,"Tartaruga caretta","Reptilia",39665,"false",5,0,"Tue Jun 27 2017 18:51:53 GMT+0200 (GMT+2)","2017-06-27","2017-06-27 16:51:53 UTC","Africa/Johannesburg",23,"Giardini Pubblici Villa Comunale, Napoli, Campania, IT","","true","","","false",198728,"2017-06-27 17:02:47 UTC","2017-07-16 09:58:07 UTC","research","CC-BY-NC",3,"false"
"Caretta caretta","2017-06-25 08:30:01 -0400","According to local officials, these signs are placed over identified turtle nests. They are not just for specifying general areas where they ""may"" lay their eggs. Roughly 25 nesting sites were spotted along Burkes Beach.","United States",32.3547129034,-80.7773929511,"eggs, egg, nest","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6790445","https://static.inaturalist.org/photos/8635225/medium.jpg?1498395435","bobby23",6790445,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Sun Jun 25 2017 08:30:01 GMT-0400 (EDT)","2017-06-25","2017-06-25 12:30:01 UTC","Eastern Time (US & Canada)",500,"Atlantic Ocean, Hilton Head Island, SC, US","","true","","","false",516268,"2017-06-25 12:57:03 UTC","2017-09-06 00:48:15 UTC","research","CC-BY-NC",3,"false"
"Caretta caretta","2017-06-08 22:01:39 -0400","Had the opportunity to watch this turtle dig her hole, lay and bury her eggs, then crawl all the way back to the ocean!  It was amazing!","Georgia, US",31.2739186342,-81.2469842443,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6658771","https://static.inaturalist.org/photos/8436057/medium.jpg?1497473777","sheree3",6658771,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Thu Jun 08 2017 22:01:39 GMT-0400 (EDT)","2017-06-08","2017-06-09 02:01:39 UTC","Eastern Time (US & Canada)",NA,"31327, Crescent, GA, US","","true","","","false",509507,"2017-06-14 20:55:58 UTC","2017-06-16 17:04:11 UTC","research","",3,"false"
"Caretta caretta","2017-06-09 00:00:00 -0800","Being rehabbed for buoyancy infection; about to be released (yay) ","Florida, US",30.1965678043,-84.2253216327,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6630865","https://static.inaturalist.org/photos/8417906/medium.jpg?1497387563","anudibranchmom",6630865,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017-06-09","2017-06-09","","Pacific Time (US & Canada)",446,"Wakulla County, FL, USA","","true","","","false",26610,"2017-06-13 21:07:32 UTC","2017-06-14 01:31:02 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2017-05-10 21:53:00 -0400","","Belize",16.4366318114,-88.1967396497,"","Loggerhead Sea Turtle","http://inaturalist.ca/observations/6423993","https://static.inaturalist.org/photos/8110635/medium.jpg?1496105145","marthar",6423993,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017/05/10 9:53 PM EDT","2017-05-10","2017-05-11 01:53:00 UTC","Eastern Time (US & Canada)",207,"Placencia, Belize","obscured","true","","","false",204341,"2017-05-30 00:49:35 UTC","2017-08-09 18:09:02 UTC","research","",NA,"false"
"Caretta caretta","2017-04-27 00:00:00 -1000","","",21.0913414649,-86.7026669808,"","Loggerhead Sea Turtle","http://conabio.inaturalist.org/observations/6174065","https://static.inaturalist.org/photos/7745215/medium.jpeg?1494535761","christian77amador",6174065,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017-04-27","2017-04-27","","Hawaii",488,"Pecio C-58","","true","","","false",87570,"2017-05-11 20:49:52 UTC","2017-05-15 02:41:23 UTC","research","",NA,"false"
